id,requirement,minimum_acceptance,status,implementation,tests,verification_evidence,blocker_reason,remaining_work
POL-015,Every decision SHALL include machine-readable reasons and a concise human explanation derived from deterministic evaluation.,Operator can see failed predicates without exposing unnecessary sensitive data.,PARTIAL,[],"[{""file"": ""tests/extended-security.test.mjs"", ""declaration"": ""test('POL-001 POL-002 POL-015: exact inputs and trusted test time produce identical decision and reasons', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-001,A Commit Gate SHALL reject every protected mutation that lacks a valid Action Certificate.,Direct API call without certificate fails even with a valid user session.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-001 COM-009 COM-010: exact approved action executes and produces signed verified outcome', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-002,"An Action Certificate SHALL bind capsule hash, policy version, evidence graph digest, signer set, target gate, nonce, expiry and execution constraints.",Changing any bound field invalidates verification.,PARTIAL,[],"[{""file"": ""tests/canonical.test.mjs"", ""declaration"": ""test('COM-002 KEY-007: Ed25519 domain-separated signatures reject every altered field', () => {""}, {""file"": ""tests/crypto-agility.test.mjs"", ""declaration"": ""test('KEY-005 COM-002: key algorithm, suite, signature encoding and verification cutoff cannot be confused', () => {""}, {""file"": ""tests/extended-security.test.mjs"", ""declaration"": ""test('COM-002: all independently signed certificate binding mutations still fail registered-authority equality', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-003,Certificates SHALL be single-use unless an action schema explicitly permits bounded repeated use.,Replay of a consumed certificate is rejected.,PARTIAL,[],"[{""file"": ""tests/http-concurrency-ui.test.mjs"", ""declaration"": ""test('COM-003 NFR-TST-002: eight independent gate workers race; exactly one certificate is consumed', async t => {""}, {""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-003: consumed certificate is never replayed', t => { const h = fixture(t), { certificate } = h.ready(); h.f.execute(h.p(), certificate); assert.throws(() => h.f.execute(h.p(), certificate), hasCode('INV-409-REPLAY')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-004,"The gate SHALL verify trusted time, certificate revocation and target state immediately before execution.","Expired, revoked and stale-state certificates fail.",PARTIAL,[],"[{""file"": ""tests/atomic-batch.test.mjs"", ""declaration"": ""test('COM-005 COM-004 ACT-012: stale last child rolls back all reservations, not just target writes', t => {""}, {""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-004 ACT-004: stale target state invalidates certificate', t => { const h = fixture(t), { record, certificate } = h.ready(); h.f.target.seed('acme', record.capsule.action.target_resource, { altered: true }); assert.throws(() => h.f.execute(h.p(), certificate), hasCode('INV-409-STATE')); });""}, {""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-004: expired certificate fails closed', t => { const h = fixture(t), { certificate } = h.ready(); h.advance(60001); assert.throws(() => h.f.execute(h.p(), certificate), hasCode('INV-401-CERTIFICATE')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-005,Execution SHALL be atomic or use a documented compensating transaction when atomicity is unavailable.,Failure injection leaves either no change or a verified compensation record.,PARTIAL,[],"[{""file"": ""tests/atomic-batch.test.mjs"", ""declaration"": ""test('ACT-012 COM-005 UX-006: atomic batch commits every exact child and rejects replay, missing or reversed authority', t => {""}, {""file"": ""tests/atomic-batch.test.mjs"", ""declaration"": ""for (const fault of ['child-1', 'before-commit', 'after-commit', 'process-crash']) test(`COM-005 COM-012 ACT-012: atomic ${fault} preserves all-or-none state and durable replay protection`, t => {""}, {""file"": ""tests/atomic-batch.test.mjs"", ""declaration"": ""test('COM-005 COM-004 ACT-012: stale last child rolls back all reservations, not just target writes', t => {""}, {""file"": ""tests/atomic-batch.test.mjs"", ""declaration"": ""test('COM-005 NFR-SEC-005: another tenant cannot execute or reconcile a batch', t => {""}, {""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-005 COM-012: target failure before commit rolls back and stays uncertain without blind retry', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-006,The gate SHALL enforce idempotency for retryable actions.,"Network retry cannot create duplicate vendor, beneficiary or payment.",PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('ACT-011 COM-006: proposal idempotency returns exact first result; changed request rejected', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-007,"The target-facing credential SHALL be held by the Root/Commit Gate where technically possible, not by the calling application.",Compromised application cannot directly authenticate to the resource.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-008,The gate SHALL minimise target credential scope to the protected action set.,Credential cannot perform an unrelated administrator operation.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-009,The system SHALL verify the observed target outcome against the authorised action.,A deliberately altered downstream response triggers incident status.,PARTIAL,[],"[{""file"": ""tests/extended-security.test.mjs"", ""declaration"": ""test('DAT-001 COM-009: exact data export cannot return extra columns from downstream', t => {""}, {""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-001 COM-009 COM-010: exact approved action executes and produces signed verified outcome', t => {""}, {""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""for (const fault of ['malformed-response', 'altered-response']) test(`CON-004 COM-009: ${fault} cannot produce false success`, t => { const h = fixture(t), { certificate } = h.ready(); assert.equal(h.f.execute(h.p(), certificate, { fault }).payload.status, 'UNCERTAIN'); assert.equal(h.f.reconcile(h.p(), certificate.payload.certificate_id).payload.status, 'VERIFIED'); });""}, {""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-009: self-consistent but unauthorised observed state must not pass reconciliation', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-010,Execution result SHALL be signed and linked to the certificate.,Independent verifier reconstructs the chain.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-001 COM-009 COM-010: exact approved action executes and produces signed verified outcome', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-011,The gate SHALL support a dry-run mode that never mutates the target.,Pilot can measure decisions safely.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-011: dry-run does not mutate or consume certificate', t => { const h = fixture(t), { record, certificate } = h.ready(); assert.equal(h.f.execute(h.p(), certificate, { dryRun: true }).no_mutation, true); assert.equal(h.f.target.state('acme', record.capsule.action.target_resource).version, 0); assert.equal(h.f.execute(h.p(), certificate).payload.status, 'VERIFIED'); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-012,The gate SHALL expose explicit timeout and uncertain-outcome states; it SHALL not automatically assume success.,Injected timeout produces reconciliation rather than duplicate retry.,PARTIAL,[],"[{""file"": ""tests/atomic-batch.test.mjs"", ""declaration"": ""for (const fault of ['child-1', 'before-commit', 'after-commit', 'process-crash']) test(`COM-005 COM-012 ACT-012: atomic ${fault} preserves all-or-none state and durable replay protection`, t => {""}, {""file"": ""tests/extended-security.test.mjs"", ""declaration"": ""test('CON-004 COM-012: missing data-output fields return UNCERTAIN rather than an exception after dispatch', t => {""}, {""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-012: post-commit timeout becomes UNCERTAIN; reconciliation finds one durable mutation', t => {""}, {""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-005 COM-012: target failure before commit rolls back and stays uncertain without blind retry', t => {""}, {""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-012: process crash reservation survives restart and prevents replay', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-013,High-risk actions SHALL support deliberate delay and cancellation windows.,A bank-detail change can be cancelled before first-payment eligibility.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('POL-006 COM-013: cooldown defers exact bank change', t => { const h = fixture(t), r = h.proposed('finance.bank.change', { bank_account: 'TESTBANK000002', currency: 'EUR' }); assert.equal(h.f.evaluate(h.p(), r.capsule.capsule_id).decision, 'DEFER'); h.advance(60001); assert.equal(h.f.evaluate(h.p(), r.capsule.capsule_id).decision, 'ESCROW'); });""}, {""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-013: cancellation closes issued authority', t => { const h = fixture(t), { record, certificate } = h.ready(); h.f.cancel(h.p(), record.capsule.capsule_id); assert.throws(() => h.f.execute(h.p(), certificate), hasCode('INV-409-REPLAY')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COM-014,The platform SHALL support customer-controlled threshold authorisation for root and critical action classes.,A 3-of-5 test succeeds with any valid three shares and fails with two.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-014 POL-009: 3-of-5 customer software quorum protects exact policy activation', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
RUN-001,"Runtime policy enforcement SHALL execute locally at the endpoint, gateway, service proxy or resource gate; ordinary dataplane decisions SHALL NOT require a round trip to the vendor cloud.",Disconnecting vendor cloud does not interrupt cached permitted runtime traffic.,PARTIAL,[],"[{""file"": ""tests/network-perception.test.mjs"", ""declaration"": ""test('NET-001 NET-002 NET-003 NET-007 NET-009 RUN-001: local process dispatch requires exact tenant/device/service capability, even offline', t => {""}, {""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('RUN-001 DAT-001: local scoped synthetic data read enforces rows and columns', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
RUN-002,"Runtime capabilities SHALL bind subject, device/workload, action, resource, destination, volume, rate, time and state.",Changing destination or exceeding rate causes enforcement.,PARTIAL,[],"[{""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""for (const [field, value] of [['destination', 'evil-vault'], ['device_id', 'stolen-device'], ['resource', 'dataset-2'], ['purpose', 'marketing']]) test(`RUN-002 DAT-004: ${field} binding cannot be broadened`, t => { const h = fixture(t), cap = h.f.runtime.issue(h.p(), runtimeInput()); assert.throws(() => h.f.runtime.consume(h.p(), runtimeRequest(cap, { [field]: value }))); });""}, {""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('RUN-002: runtime request replay does not spend twice or return data twice', t => { const h = fixture(t), cap = h.f.runtime.issue(h.p(), runtimeInput()), request = runtimeRequest(cap); h.f.runtime.consume(h.p(), request); assert.throws(() => h.f.runtime.consume(h.p(), request), hasCode('INV-409-REPLAY')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
RUN-003,Capabilities SHALL be short-lived and continuously renewable only while required health and policy conditions hold.,Loss of device attestation prevents renewal.,PARTIAL,[],"[{""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('RUN-003: stale configured device health prevents renewal', t => { const h = fixture(t); h.advance(86400001); assert.throws(() => h.f.runtime.issue(h.p(), runtimeInput()), hasCode('INV-403-HEALTH')); });""}, {""file"": ""tests/runtime-integrity.test.mjs"", ""declaration"": ""test('RUN-010 RUN-003: expiry, revoked custodian, duplicate signer and stale process withdraw local authority', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
RUN-004,The system SHALL support immediate revocation with bounded propagation time.,Revoked subject loses access within configured SLO.,PARTIAL,[],"[{""file"": ""tests/extended-security.test.mjs"", ""declaration"": ""test('RUN-004: runtime issuer-key revocation and active-policy change invalidate cached token', t => {""}, {""file"": ""tests/network-perception.test.mjs"", ""declaration"": ""test('NET-004 NET-005 NET-006 NET-010 RUN-004 RUN-008 RUN-009: rate, quarantine, revocation, exhaustion and containment counters', t => {""}, {""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('RUN-004 IDN-008: device quarantine rejects issued capability immediately', t => { const h = fixture(t), cap = h.f.runtime.issue(h.p(), runtimeInput()); h.f.revoke(h.p('security'), { kind: 'device', id: 'operator-device', reason: 'Synthetic compromised device' }); assert.throws(() => h.f.runtime.consume(h.p(), runtimeRequest(cap)), hasCode('INV-403-QUARANTINE')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
RUN-005,Local gates SHALL use fail behaviour defined per action class.,"Test matrix demonstrates fail-closed, cached-allow or constrained fail-open as configured.",NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
RUN-006,Runtime enforcement SHALL expose reason-coded counters without logging sensitive payload by default.,Operations dashboard diagnoses blocks while respecting minimisation.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
RUN-007,The dataplane SHALL implement resource and tenant isolation.,Cross-tenant capability is rejected even with a syntactically valid token.,PARTIAL,[],"[{""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('RUN-007: cross-tenant capability cannot be consumed', t => { const h = fixture(t), cap = h.f.runtime.issue(h.p(), runtimeInput()); assert.throws(() => h.f.runtime.consume(h.p('operator', 'globex'), runtimeRequest(cap)), hasCode('INV-401-SIGNATURE')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
RUN-008,Runtime gates SHALL rate-limit their own control interfaces and resist decision-cache exhaustion.,Adversarial load does not evict critical policy or crash the gate.,PARTIAL,[],"[{""file"": ""tests/network-perception.test.mjs"", ""declaration"": ""test('NET-004 NET-005 NET-006 NET-010 RUN-004 RUN-008 RUN-009: rate, quarantine, revocation, exhaustion and containment counters', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
RUN-009,"The system SHALL distinguish policy denial, capacity throttling, quarantine and infrastructure failure.","Clients receive stable, documented error codes.",PARTIAL,[],"[{""file"": ""tests/network-perception.test.mjs"", ""declaration"": ""test('NET-004 NET-005 NET-006 NET-010 RUN-004 RUN-008 RUN-009: rate, quarantine, revocation, exhaustion and containment counters', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
RUN-010,Every runtime gate SHALL support a signed configuration snapshot and local integrity check.,Unauthorised local configuration change is detected and gate privileges are withdrawn.,VERIFIED,"[""src/runtime-config.mjs"", ""src/bootstrap.mjs"", ""src/runtime.mjs"", ""src/store.mjs""]","[{""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('RUN-010: signed startup, tampering withdrawal, quorum reload and downgrade rejection', t => {""}, {""file"": ""tests/runtime-integrity.test.mjs"", ""declaration"": ""test('RUN-010: restart cannot roll back signed configuration or rebind an accepted version', t => {""}, {""file"": ""tests/runtime-integrity.test.mjs"", ""declaration"": ""test('RUN-010 RUN-003: expiry, revoked custodian, duplicate signer and stale process withdraw local authority', t => {""}, {""file"": ""tests/runtime-integrity.test.mjs"", ""declaration"": ""test('RUN-010 NFR-SEC-006: duplicate JSON configuration keys are rejected at startup', t => {""}]","[{""command"": ""python3 scripts/record-verification.py"", ""result_file"": ""reports/evidence/current-tests.xml"", ""result_sha256"": ""f64a88c7178693e69c46c83b34d3970e3458f3862ea9929b2bb9de55baaf5feb"", ""passing_test_names"": [""RUN-010: restart cannot roll back signed configuration or rebind an accepted version"", ""RUN-010 RUN-003: expiry, revoked custodian, duplicate signer and stale process withdraw local authority"", ""RUN-010 NFR-SEC-006: duplicate JSON configuration keys are rejected at startup""], ""source_hashes"": {""src/runtime-config.mjs"": ""49db2c0ea6697995ebb9551c834ce62cefb3e209a2cd24d8e9bee93471c44373"", ""src/bootstrap.mjs"": ""46e621d6616a967adcfa62444734198392be23ed963d084a23f9e6df8e82a015"", ""src/runtime.mjs"": ""589b472a7723c2a1e687e57d8693d8d4224ffeea76656122448cdad9bee695d1"", ""src/store.mjs"": ""dedd6be74eb6925b59991b298dfb2e3dcb1f628474f32cb7da4bb036fe101bc2"", ""tests/runtime-integrity.test.mjs"": ""b66a92e0fce2fd53a3b717cc0e5d49e2734597c7445d3fba7d7ae491552fb499""}}]",,
DAT-001,"Data policy SHALL support row, column, field, classification, jurisdiction, purpose and destination constraints.",A permitted query returns only authorised columns and rows.,PARTIAL,[],"[{""file"": ""tests/extended-security.test.mjs"", ""declaration"": ""test('DAT-001 COM-009: exact data export cannot return extra columns from downstream', t => {""}, {""file"": ""tests/extended-security.test.mjs"", ""declaration"": ""test('DAT-001: caller cannot mislabel dataset jurisdiction or sensitivity', t => {""}, {""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('RUN-001 DAT-001: local scoped synthetic data read enforces rows and columns', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
DAT-002,"The system SHALL enforce rolling information budgets across configurable minute, hour, day and month windows.",Low-and-slow extraction exceeds a cumulative budget and is blocked.,PARTIAL,[],"[{""file"": ""tests/http-concurrency-ui.test.mjs"", ""declaration"": ""test('DAT-002: concurrent gates cannot overspend shared rolling budget', async t => {""}, {""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('DAT-002 DAT-009: low-and-slow extraction accumulates across newly minted capabilities', t => {""}, {""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('DAT-002: rolling budget recovers after bounded window expires', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
DAT-003,"Budgets SHALL account for sensitivity or information value, not bytes alone.",A small export of passport records consumes more budget than ordinary marketing assets.,PARTIAL,[],"[{""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('DAT-003: server-controlled sensitivity weight increases information charge', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
DAT-004,Data capabilities SHALL bind an approved destination or protected output channel.,Export to an unapproved domain or storage account fails.,PARTIAL,[],"[{""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""for (const [field, value] of [['destination', 'evil-vault'], ['device_id', 'stolen-device'], ['resource', 'dataset-2'], ['purpose', 'marketing']]) test(`RUN-002 DAT-004: ${field} binding cannot be broadened`, t => { const h = fixture(t), cap = h.f.runtime.issue(h.p(), runtimeInput()); assert.throws(() => h.f.runtime.consume(h.p(), runtimeRequest(cap, { [field]: value }))); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
DAT-005,"The platform SHALL support automatic SHIELD transformations including masking, aggregation, tokenisation and field removal.",Policy transforms an overbroad export into a compliant result.,PARTIAL,[],"[{""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('DAT-005 DAT-011: watermark is opt-in, attributed, deterministic and never mutates source data', () => {""}, {""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('DAT-005 POL-004: restricted export requires explicit new SHIELD proposal', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
DAT-006,Query rewriting SHALL preserve database safety and SHALL be verifiable against the authorised schema.,Adversarial SQL cannot escape row/column constraints.,PARTIAL,[],"[{""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('DAT-006: SQL-shaped columns and unrestricted row sets rejected', t => { const h = fixture(t); assert.throws(() => h.f.runtime.issue(h.p(), runtimeInput({ columns: ['name; DROP TABLE resources'] })), hasCode('INV-403-SCOPE')); const cap = h.f.runtime.issue(h.p(), runtimeInput()); assert.throws(() => h.f.runtime.consume(h.p(), runtimeRequest(cap, { columns: ['passport'] })), hasCode('INV-403-SCOPE')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
DAT-007,Database credentials SHALL be isolated at the data Root Gate where possible.,Application compromise does not reveal reusable database credentials.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
DAT-008,The system SHALL support bulk-export escrow and exact approval for exceptional legitimate use.,"Approved export has fixed dataset, fields, row ceiling, destination and expiry.",NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
DAT-009,The platform SHALL detect repeated overlapping queries intended to reconstruct a restricted dataset.,Test sequence triggers cumulative reconstruction control.,PARTIAL,[],"[{""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('DAT-002 DAT-009: low-and-slow extraction accumulates across newly minted capabilities', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
DAT-010,Data access logs SHALL record policy-relevant metadata and digests while minimising plaintext.,Auditor can verify access without receiving full record contents.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
DAT-011,Protected outputs SHALL support watermarking and user/session attribution where lawful and appropriate.,Rendered/exported output identifies authorised session without altering source data.,PARTIAL,[],"[{""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('DAT-005 DAT-011: watermark is opt-in, attributed, deterministic and never mutates source data', () => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
DAT-012,"The system SHALL support deletion, retention and legal-hold controls for its own evidence store.",Retention policy is demonstrable and legal-hold prevents deletion.,PARTIAL,[],"[{""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('DAT-012: expired evidence is held for active actions and legal hold; terminal evidence logically deleted', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
IDN-001,Administrative and high-risk actions SHALL require phishing-resistant authentication and action-bound confirmation.,Password/OTP-only test cannot authorise configured high-risk action.,PARTIAL,[],"[{""file"": ""tests/extended-security.test.mjs"", ""declaration"": ""test('IDN-001 POL-011: an initiator cannot approve their own protected action even with an eligible signing key', t => {""}, {""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('IDN-001: software signature cannot satisfy hardware-required policy', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
IDN-002,Authentication SHALL establish identity but SHALL NOT by itself grant protected action authority.,Valid login without capability fails at the gate.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('IDN-002: auditor login grants no mutation authority', t => { const h = fixture(t); assert.throws(() => h.proposed(undefined, undefined, {}, h.p('auditor')), hasCode('INV-403-ROLE')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
IDN-003,"The platform SHALL support workforce, workload, device and counterparty identities.",Policies can distinguish and combine all four identity classes.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
IDN-004,"Standing administrator access SHALL be minimised in favour of just-in-time, scoped capabilities.",Admin privilege expires automatically and cannot be reused outside scope.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
IDN-005,"MFA reset, authenticator enrolment and account recovery SHALL be separate protected actions.",Helpdesk cannot collapse reset and enrolment into one unlogged operation.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
IDN-006,Recovery SHALL not be weaker than normal authentication for the recovered privilege class.,Social-engineering-only recovery fails.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
IDN-007,Device health and hardware-backed key status SHALL be bound to high-risk capabilities.,Moving the session to an unattested device invalidates capability.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
IDN-008,The system SHALL support rapid identity and device quarantine without deleting evidence.,Quarantined identity loses access but audit remains available.,PARTIAL,[],"[{""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('RUN-004 IDN-008: device quarantine rejects issued capability immediately', t => { const h = fixture(t), cap = h.f.runtime.issue(h.p(), runtimeInput()); h.f.revoke(h.p('security'), { kind: 'device', id: 'operator-device', reason: 'Synthetic compromised device' }); assert.throws(() => h.f.runtime.consume(h.p(), runtimeRequest(cap)), hasCode('INV-403-QUARANTINE')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
IDN-009,Service and API credentials SHALL be short-lived or brokered wherever the target supports it.,No long-lived secret is exposed to the application in the reference deployment.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
IDN-010,"The platform SHALL record identity proofing level and authenticator properties as evidence, not as universal trust.",Policy can require higher proofing for root recovery than routine access.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
NET-001,Default workstation-to-workstation communication SHALL be denied unless explicitly required.,Peer scan from an ordinary workstation yields no reachable peers.,PARTIAL,[],"[{""file"": ""tests/network-perception.test.mjs"", ""declaration"": ""test('NET-001 NET-002 NET-003 NET-007 NET-009 RUN-001: local process dispatch requires exact tenant/device/service capability, even offline', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
NET-002,"The platform SHALL enforce microsegmentation by identity, workload, service and purpose rather than network location alone.",Moving a device to another subnet does not expand authority.,PARTIAL,[],"[{""file"": ""tests/network-perception.test.mjs"", ""declaration"": ""test('NET-001 NET-002 NET-003 NET-007 NET-009 RUN-001: local process dispatch requires exact tenant/device/service capability, even offline', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
NET-003,"Network capabilities SHALL define destination, protocol, service identity, rate envelope and expiry.",A permitted ERP connection cannot be reused to scan adjacent ports.,PARTIAL,[],"[{""file"": ""tests/network-perception.test.mjs"", ""declaration"": ""test('NET-001 NET-002 NET-003 NET-007 NET-009 RUN-001: local process dispatch requires exact tenant/device/service capability, even offline', t => {""}, {""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('NET-003 NET-004: local service envelope rejects other port and excess request rate', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
NET-004,Local enforcement SHALL throttle or drop traffic exceeding the configured rate or fan-out envelope.,Internal DoS simulation is contained at source.,PARTIAL,[],"[{""file"": ""tests/network-perception.test.mjs"", ""declaration"": ""test('NET-004 NET-005 NET-006 NET-010 RUN-004 RUN-008 RUN-009: rate, quarantine, revocation, exhaustion and containment counters', t => {""}, {""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('NET-003 NET-004: local service envelope rejects other port and excess request rate', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
NET-005,A device that loses health attestation or disables the endpoint control SHALL lose ordinary network capability and enter constrained remediation mode.,Killing the agent triggers network quarantine rather than protection-off.,PARTIAL,[],"[{""file"": ""tests/network-perception.test.mjs"", ""declaration"": ""test('NET-004 NET-005 NET-006 NET-010 RUN-004 RUN-008 RUN-009: rate, quarantine, revocation, exhaustion and containment counters', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
NET-006,"Quarantine SHALL permit only explicitly defined remediation, security and business-continuity services.",Quarantined device cannot reach databases or peer systems.,PARTIAL,[],"[{""file"": ""tests/network-perception.test.mjs"", ""declaration"": ""test('NET-004 NET-005 NET-006 NET-010 RUN-004 RUN-008 RUN-009: rate, quarantine, revocation, exhaustion and containment counters', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
